Thermobifida fusca
Sulfuritalea sp016712985
CADEFT01 sp016789745
PNKZ01 sp016793115
DSQQ01 sp016860845
VGLJ01 sp016866775
QWPN01 sp016872955
VGYC01 sp016873095
JAFGLZ01 sp016927755
JAFGKA01 sp016928855
UBA11386 sp016929515
JADGQN01 sp017881765
Methyloceanibacter sp018067145
Thiobacillus sp018780105
UBA1546 sp018896985
F1-20-MAGs016 sp018970785
JAFAHT01 sp019237095
Reyranella sp900110395
CADCTB01 sp902805665
CAITNO01 sp903822375
CAIUWA01 sp903827245
Reyranella aerosaccus_B
UBA12489 sp903844055
CAIMWS01 sp903845125
UBA2377 sp903952145
CAISJI01 sp903885565
UBA11358 sp903889895
Terracidiphilus sp903911925
QWPN01 sp903917235
CAIXZV01 sp903924005
2-12-FULL-35-15 sp903926385
Bradyrhizobium sp000426105
Bradyrhizobium murdochi
Sulfuritalea hydrogenivorans
Bradyrhizobium retamae
Hydrogenophaga flava
Massilia psychrophila
Flavobacterium sp002797935
Lacunisphaera lenta
Reyranella soli
Luteibacter sp018449605
JAAYIR01 sp012523355
Sphingorhabdus_B sp016742125
Clostridium_I akagii
Duganella levis
Frankia canadensis
Thiobacillus denitrificans_A
UBA4085 sp002383325
Mesorhizobium sp003242525
UBA5189 sp005889475
SICP01 sp009691415
DRWE01 sp011388385
JADJXM01 sp016715865
VGSQ01 sp016874975
Pelomonas sp019237615
CAIYBN01 sp903896545
KS41 sp903934035
Sphingomonas sp001421415
Ginsengibacter sp002050465
Thermoflexibacter sp004294445
DTKY01 sp011333485
JACCYG01 sp013696595
Ferruginibacter sp014377385
JAENIV01 sp016844295
Allorhizobium sp002307905
QYPT01 sp007280125
SIAN01 sp009691715
JAAUQO01 sp012032775
CAIQDA01 sp903870415
VYCW01 sp009837445
Sideroxydans sp903847155
Hoeflea sp002733955
AG41 sp003221085
JABFSC01 sp013140885
GCA-2737665 sp016194975
Prevotella sp018053665
Caballeronia choica
Novosphingobium lentum
Actinoallomurus bryophytorum
Nitratireductor sp002697745
Binatus sp003135855
DUEN01 sp013152435
Bryobacter sp016870995
AWTP1-35 sp003962875
Hyphomonas sp013823385
Accumulibacter sp014879755
Bacteroides_G sp015654535
CTSoil-080 sp017889635
Allorhizobium sp012276985
UBA9655 sp001897795
Anaerocolumna sp002294045
UBA1796 sp002319795
UBA1096 sp003972865
QYQL01 sp007280915
RGVT01 sp009926295
SG-bin9 sp002083525
PALSA-894 sp003140315
Methylocystis sp003152255
FEN-943 sp003170595
Terricaulis sp003242075
Mesorhizobium sp003963455
Devosia_A sp004144345
DP-23 sp005879245
Bradyrhizobium sp005884765
SHVS01 sp009694135
WTGL01 sp011523565
CS4-C045 sp011772275
JACCXP01 sp013696905
Pseudolabrys sp016124795
PALSA-1176 sp016194705
JACQAE01 sp016195095
JACQAF01 sp016195145
JACQFT01 sp016199925
JACQDQ01 sp016201015
Ensifer sp900469595
JAEUMG01 sp016793355
JAEUHS01 sp016794565
Hyphomicrobium sp018242255
Hyphomicrobium sp018242295
VAYN01 sp018268415
JAFAXD01 sp019241285
GAS188 sp019246665
Pseudolabrys sp019246455
BOG-930 sp903839965
Pseudolabrys sp903885555
ZC4RG25 sp002919265
Pseudolabrys sp003133345
Palsa-892 sp003135415
Phenylobacterium sp004297125
Aestuariivirga sp012032065
Pseudolabrys sp903839845
28-YEA-48 sp903884435
UBA2250 sp013791905
JACDEA01 sp013816725
Acerihabitans sp015654925
Rhodococcus erythropolis
RBG-13-52-11 sp001797745
RBG-16-54-18 sp001797935
Palsa-1315 sp002869925
Pseudomonas_E avellanae
Palsa-1315 sp003135435
FEN-1073 sp003141675
UBA11740 sp003222895
SCTL01 sp004297495
UBA6176 sp008933025
FEN-1219 sp011054615
2-12-FULL-64-23 sp012274205
OLB14 sp013140605
JACCSI01 sp013813075
SM23-42 sp014859085
2-12-FULL-64-23 sp014860355
2-12-FULL-64-23 sp014860395
SG8-41 sp016177355
SG8-41 sp016183675
JACQGZ01 sp016199305
Palsa-1315 sp016200355
JACQVA1 sp016210005
SURF-23 sp016213945
Didemnitutus sp016217545
JACRCY01 sp016218785
UBA6902 sp016222915
UBA668 sp002299395
BS750m-G4 sp016783945
OLB14 sp016789305
Prosthecobacter sp016795465
Lacunisphaera sp016795545
UBA11320 sp016871475
Fen-999 sp016880655
Mycobacterium sp017853185
SZAS-79 sp018241645
Propionivibrio sp903917505
Devosia psychrophila
Thiobacillus denitrificans_C
Lacrimispora algidixylanolytica
Ga0077555 sp001464655
Ga0077555 sp001464955
12-FULL-67-14b sp001768615
Methyloceanibacter sp003135455
Pseudolabrys sp003152455
AWTP1-13 sp008933705
VAZQ01 sp009377695
AWTP1-13 sp011046675
Pseudorhodoplanes sp013388965
SSA4 sp013414705
RBG-16-66-20 sp016177575
Pseudolabrys sp016185205
Aestuariivirga sp016185245
Methyloceanibacter sp016649675
BS750m-G57 sp016782885
BS750m-G37 sp016783285
Z2-YC6860 sp016869215
Methyloceanibacter sp016869535
JAFGJQ01 sp016929015
Filomicrobium sp018819265
Reyranella sp019235415
JAFAZJ01 sp019239835
GAS188 sp900104855
Hyphomicrobium sp902826555
CADEFX01 sp902826715
UBA12454 sp903847315
PALSA-1440 sp903912925
Z2-YC6860 sp001579845
Defluviicoccus vanus
Planktophila sp000378885
Roseomonas_B sp001464375
RBG-13-66-14 sp001774505
2-01-FULL-59-12 sp001800075
Planktophila sp002284895
AP-15 sp005888515
Planktophila sp009694515
Polynucleobacter sp013205155
RI-34 sp016124315
JACOXZ01 sp016182105
Rhodopseudomonas palustris_L
UBA2645 sp018970485
AP-16 sp019243195
Phormidesmis_A priestleyi_A
Bradyrhizobium sp018736105
JACAEX01 sp013388635
SSA4 sp016712375
SSA4 sp016712595
Rhodoplanes sp016793685
UBA2376 sp016794525
Sorangium cellulosum_B
Labilithrix luteola
Hyphomicrobium_A sp009708035
